no,comment_id,category,text,rater2_label,catatan
21,Ugyw92w6ApEbSeZjhwx4AaABAg,institusional,Prabowo semoga cepat sadar seperti rakyat yang sdh mulai sadar dan berjiwa besar untuk mengakui kesalahan memilih jkw di periode 2.,good,
22,UgxoPAELLh69en52hjN4AaABAg,institusional,Royyy royy.... hidupmu penuhh kedengkian   dah begitu sok sok ann bawa bawa ayat suciii  ..,netral,
23,UgyFWB9FRquAr4okSPZ4AaABAg,institusional,"Intinya ada kecurangan besar,yg menang sesungguhnya PRABOWO SANDI,,,",netral,
24,UgwYKvtokoB_bsltlQR4AaABAg,institusional,"Hakim pun SDH JD dajal,gimana mau di percaya. Berarti moralnya SDH rusak.",bad,
25,UgzGb2_JwOQUnU2N4MV4AaABAg,institusional,Mantap pak Roky Gerung apa saja pertanyaan habis di lumat oleh ilmunya ...,good,
26,Ugxax_sxu1yHELEK4oN4AaABAg,institusional,"Orang2 nya Jokowi mang layak masuk penjara semuanya. Mulai judol, korupsi, penjarahan aset negara, pelanggaran HAM, ijazah palsu, suap hakim jaksa, dan banyak kejahatan lainnya",bad,
27,UgxSJ26QeboCkwbtySd4AaABAg,institusional,Tp persiden indonesia d anggap rendah oleh persiden luar negeri,netral,
28,UgwVP64Dp5MFSRIYkDt4AaABAg,institusional,"Yg nanya kayaknya sok suci,kan orang pitik taulah kita...",netral,
29,UgwcPHNECCVmuf7Pok14AaABAg,tutorial_website,Bagus Cok semoga sukses n terus maju ... Cok emang pinter👍,good,
30,UgygItN7FwqQ5MQyCOJ4AaABAg,tutorial_website,Mantap,good,
31,UgxT_IKw6CVG27bihx54AaABAg,institusional,Mantap  lebih baik jadi menteri  maling uang rakyat daripada menjadi affiliator 😂😂😂😂😂,netral,
32,Ugxh4mbLsmWbBXUpbnd4AaABAg,institusional,"Emaang eeenak di tolak kasasinya ,mantap infonya Pak Gofar",good,
33,UgzhZtb6A9Ub7huCqUx4AaABAg,institusional,"Bagikan itu semua uang kepada orang 2 yang tidak mendapatkan keadilan, orang2 yang menjadi korban dari mafia hukum",netral,
34,UgwSwDFiQgzKPHy7skB4AaABAg,institusional,Karena punya Niat Nyolong makanya pura2 Baik.,netral,
35,Ugyk8A3AItuFQYPvmdR4AaABAg,institusional,"Sangat sakit hati ag. Mendengar. .ini.   tidak tahan.  Menahn .air mata .ya allah ag mohon kepada mu.  Berilah ke ajaiban. 7 terpidana. Tidak bersalh.  Semogga ada jaln keluarnya.  Bisa bebas.amiin yarob 3x. 
Saudia arabia hadir. 

Mudah'an. Pra hakim.yg memonis. terpidana.  Dapt ajab. Pling pedih. 7 turun. Dunia ahirat.",netral,
36,UgxSoJyv_Ata-DE7EHd4AaABAg,institusional,Bagus dah di kandangin biar agak adem ni negara,good,
37,UgwVWLcJwvF3dn6sY1l4AaABAg,tutorial_website,Bang ....apa GK bisa langsung ambil ke pengadilan saja ...kynya kok ribet,netral,
38,Ugzxz0F1Xax3-x_cNzl4AaABAg,institusional,Nga disudahon be klip naii.. Marjillam ma,netral,
39,Ugy7xs4AAUmQoU_cQIZ4AaABAg,institusional,WAJIB DI USUT 👍👍👍 DI JAMIN MENERIMA SUAP 👍🇮🇩👍🤣😁😁,netral,
40,UgxW1x76BR43__YbFSZ4AaABAg,institusional,Jgn terlena dgn berita yg seakan akan presiden akan jatuh...itu produk pdip..agar gelombang penolakan ruu hip... hilang dari berita.. ayo jgn lengah kawal penolakan ruu hip.,netral,
41,Ugwn4tPZ51boHsDm0-R4AaABAg,tutorial_website,Mantap👍👍,good,
42,UgyslrAslGWfuLhaAOx4AaABAg,tutorial_website,Iya kenapa gagal terus upload SK aja g bisa...,netral,
43,UgyEgcBb75-KXESJoUt4AaABAg,institusional,Terus bongkarkan bang resmon mantap,good,
44,Ugwo4dtbGWyKcrZ1KE94AaABAg,institusional,Suap bagi pengadil sulit untuk dimusnahkan terutama jika tersangkanya orang orang kaya atau orang yang punya jabatan tinggi,bad,
45,Ugw44J1PZ8Vhz4LJbKF4AaABAg,institusional,"Mantap pak.
Mejuah2 salam dari medan Fakultas Hukum USU",good,
46,UgxurY9P_27_zseGK7Z4AaABAg,institusional,katax mrmberantas korupsi bgm bisa diberantas orang yg sangat dipercaya memberi teladan malah melanggar larangan itu sendiri.bra vo p.Rudi teruskan kritikanx mudahan bermanfaat.,netral,
47,Ugzka0xUlTfrb7ECbIN4AaABAg,institusional,"Modus pmbnuhn sadis, kejam dan keji, abk sendri skenerio pemerkosaan, hrs nya MA apresiasi putusab PN dan PT",good,
48,Ugz8_ZAiH3lHAoR_r8B4AaABAg,institusional,"Ma parah banget ini,astagfirullah padahal saksi² sudah jelas bahwa ini kecelakaan",bad,
49,UgyIs7YuT2ntXReExF94AaABAg,institusional,"Itu zoom nya di mute saja kalau RS ga diminta omong. Menggangu, mendengar gonggongan-nya. Kayak hewan liar ga tahu tata kromo.",netral,
50,UgwPg-whVIIPIWq7J8x4AaABAg,institusional,"Para koruptor semakin meraja Lela di negri ini
Ada apa??...
Kpk berhasil mengungkap..semoga setelah dipenjara tdk mendapat potongan masa tahanan...
Alias keluar sebelum saatnya",good,
51,UgyWWMK7TwanBEL0cmF4AaABAg,institusional,"Wakil Tuhan korupsi semua karena ""heaven is Offline""😂😂😂😂😂😂😂",bad,
52,Ugx0KXvTLQ6Nu3D94oV4AaABAg,institusional,biar  allah akan memberi  hukuman kepada yg curang dan zalim,netral,
53,UgxG5JogmmCIlhcYrp94AaABAg,institusional,Suaranya ko gk bentak bentak lg?,netral,
54,UgwqzfZIV0Ainc6YDad4AaABAg,institusional,Kenapa ngak minta pembayaran secara ansuran.. tetapi harus bersetuju dgn syarat dlm surat perjanjian...,good,
55,UgyXDtH3aQ8IYqawU4t4AaABAg,institusional,Ini yang buat rakyat merasa kecewa dengan Hukum dinegeri ini koruptor yang sudah menghianati bangsa tapi dihukum ringan ckckckck🤭,netral,
56,UgwJbIgr9MGTbTAUsiB4AaABAg,institusional,"Ya Allah smoga yg curang akan tumbang, kebenaran akan terbuka dn di menangkan Allah,,",netral,
57,Ugz8Z1hxO3bsMyVcLql4AaABAg,institusional,Bagus penjelasannya pak teguh menambah wawasan advokat. & masyarakat pada umumnya.Tks.,good,
58,UgxgagywgR0_NLBEzV14AaABAg,institusional,"Semua rakyat juga kecewa..hukum kok cuman tajam ke rakyat.anggota ma harus di periksa kira"" menerima sogokan berapa",netral,
59,Ugz44dXhW5jYZv1_VBZ4AaABAg,tutorial_website,"Alhamdulillah, sangat informatif semoga dapat membantu para pengguna pencari keadilan di PA Bandung",good,
60,Ugzkhvg2rT4bkErIDV14AaABAg,tutorial_website,"sy udh download tpi gagal ga msuk pdf,tpi di akun ecourtnya udh ilang bang,trus gimna sy cari salinan itu lg biar ba sy download lg",netral,
61,Ugzd02l_Oft5zoMq-AV4AaABAg,tutorial_website,Sangat memudahkan pencari keadilan dan para advocat untuk mendaftarkan perkata di Pengadilan Agama,netral,
62,UgzALJfFAxQ9N9M1pyN4AaABAg,tutorial_website,Ketika saya masukan npp dan divisi tulisanya gagal.. alasanya npp sudah menggunakan sipp.. itu gmana bos,bad,
63,UgyPfq3BVaRMib660KF4AaABAg,institusional,KPK tolong pantau juga Kab. Kep. Aru di Maluku pak...,netral,
64,Ugyv1fVPWWNvilcxVud4AaABAg,institusional,Gofur gila,netral,
65,UgzrYLi_J_FA87USSm94AaABAg,institusional,"Komar orang baik tapi tidak jujur, banyak yg model gitu di Indonesia.
Jadi baik mudah jadi jujur itu pilihan.",netral,
66,UgzG3HOUa_RGgq4MaPN4AaABAg,institusional,"Mantap...Tumabo Dongan TRIO on mangendehon,,,Sukses #DONGANTRIO",good,
67,UgyqhcXSHj0iGMBT8zx4AaABAg,institusional,Mantap PT Riau maju terus ...,good,
68,UgxZkZjTuT24QWfuB-14AaABAg,institusional,Jika reformasi menjadikan semakin banyak korupsi. Apakah perlu revolusi ??,bad,
69,UgyaD4GKKj61Ms4njr54AaABAg,institusional,Benar benar memalukan...pengadilan paling tinggipun tersandung korupsi..,bad,
70,UgztQpgokqp5XyMIcRZ4AaABAg,tutorial_website,"Sangat membantu, penjelasannya gampang dipahami, terimakasih",good,
71,UgwNstLnLI4ZjBuXLtt4AaABAg,institusional,Cengangas cengenges lu ah...,netral,
72,Ugx46bruYDxhVoztjvF4AaABAg,institusional,Viralkan,netral,
73,UgzBbf0cuKz_MLuBevl4AaABAg,institusional,"Saya heran pejabat negara kita di biarkan korupsi meraja lela, tapi utang bapak Yusuf Hamka tidak di bayar ❤🙏",netral,
74,Ugws2tFJCs8gKBpVx214AaABAg,institusional,Alhamdulillah termul makin terpojok,good,
75,Ugy26JhOZmOS6XKsZbh4AaABAg,institusional,Mudah mudahan hakim MA cepet struk,netral,
76,UgxbBkRuO41zDzAEszp4AaABAg,institusional,Dulu sama2 mau..kok sekarang rame2..hanya karena uang..gk pedulikan hati sang anak..,netral,
77,UgwVxyIBWnP1z_lPcUN4AaABAg,institusional,"Buktikan KLO Anda Taat Hukum.
Jgn bawa bawa Nama Presiden.",netral,
78,Ugxs4bX95BC-vNIGegJ4AaABAg,tutorial_website,PA Tual Betapung Temang...Sukses Selalu..,netral,
79,UgzOD1i-RDWJM7yQMLx4AaABAg,institusional,Hak sya di zalimi saya kalah di kasasi ..karna bukti yg akurat skalipun kalah dgan uwang ...itu yg saya alami ..pdahalah setepikat atasnama orng tuwa sya & surat hibahya ..😭,netral,
80,UgxHlsACGwTelOhWCvF4AaABAg,institusional,Gagal banding ya gitu,netral,
81,UgxhquMXecwk8asmMBJ4AaABAg,institusional,mantap...,good,
82,UgyTFvPMCpYsMJbnuih4AaABAg,institusional,Hukum allah lebig adil dr pd hukum manusia g adil.. Skrg g ada duit di tindas.. Ada duit di anggung2in. Mafia di lindingi. Maling sendal jepit di pidana,bad,
83,Ugx0ID-wdsUNd_9wD2N4AaABAg,institusional,Pak ada nomer wa atau instagram ga saya ada keperluan,netral,
84,UgzpeosUbHxmElah3zN4AaABAg,institusional,BPJS malah naik LG payah bang,netral,
85,UgzWAgXg9U0swTPdBZd4AaABAg,institusional,Sangat gampang sekali bagi mereka.kita rakyat berjibaku hanya untuk makan dan kebutuhan lainya.,netral,
86,UgwtxIsDuNthtEstCYJ4AaABAg,institusional,"Gak apa saling berantam,kelompok pencuri uang rakyat hidup pun gak ada guna..kasih mati sekalian lagi bagus.",good,
87,UgyPnxuQ4ME20VVO1El4AaABAg,institusional,Terimakasih atas penjelasan yg luar biasa sehingga sangat bermanfaat bagi masyarakat para pencari keadilan 🙏,good,
88,Ugw-WhJVzksRNxaFeUF4AaABAg,institusional,"Kurung aja si rasman ituh, bikin keruh dunia aja tuh orng...!",netral,
89,UgyfjKyexjfjQndiiw14AaABAg,institusional,Mafia nya kan di lingkaran kekuasaan itu yg harus diberantas,netral,
90,UgwfRLoPqROAX976vrR4AaABAg,institusional,"Duuuh gampang banget orang gede cari uang,,,aku buat bayar kontrakan aja mati"" cari gak dapet""",netral,
91,UgzpFehqELs8m1NR58V4AaABAg,institusional,hakim yang ngebaskan tangkap juga,netral,
92,UgzrUIzr7QbovLMnD5B4AaABAg,institusional,"Udah bagus lagunya dinyanyikan sama Agnes ,kalo ngga pasti ilang itu lagu",good,
93,Ugxk4J31UDfP2EeE2ZB4AaABAg,institusional,Rusak rusak negeri ini . Gelap gelap hukum di negeri konoha.,bad,
94,UgxTwsHoxlNi61AkrdB4AaABAg,institusional,Pejabat ind banyak yg g mengemban jabatan adalah amanah orang jujur jarang  orang panyak buat minteri,netral,
95,UgyeDdTm01Hy_9-sTaN4AaABAg,institusional,I like lah,netral,
96,UgxKwKq7w-JZzefR5nx4AaABAg,institusional,"100 m, brt korupsi kcil2 sj dnt.",bad,
97,UgyKRXsYxWjQtIi-cMR4AaABAg,institusional,"SUSAH KEADILAN KITA DAPAT DI INDONESIA INI, KETIKA KITA MASYARAKAT KECIL.",netral,
98,Ugw8Ki51WkbYJ2npxOZ4AaABAg,institusional,Saya setuju bagi koruptor hukuman maksimal mati atau seumur hidup . Kalaupun ada  grasi harus ada  maxnya. Pastinya korupsi ada habis,netral,
99,Ugyja-aGBO8US4_KHDh4AaABAg,institusional,"Dada JJ, Pngen mampir ning padepokan mb kapan sagete mba :'( PSHT JAYA",netral,
100,UgzbTujKEHGIuY5kOYJ4AaABAg,tutorial_website,Keren,good,
101,Ugw6eFLej73jUDaVhM54AaABAg,institusional,Horas  bongkar semua kasus yg di tutupi  supaya rakyat  tahu .presiden prabowo  tangkap jaksa ma koruptor  parah ini indonesia di bodohi para rekayasa kasus,bad,
102,Ugygj11mwtS25bmnIF54AaABAg,institusional,"Siapa yg menyiram bensin selama berkuasa , tinggal ada waktu hangus musnah 😂",netral,
103,UgwXyy7lPYzKF3rxAqh4AaABAg,institusional,Tetap saja tidak adil,netral,
104,UgyO4zIQ6Jg6-k69FuN4AaABAg,institusional,Ancur klo ma g di berentikan,netral,
105,Ugy8u7imSwRW_z1xrIR4AaABAg,tutorial_website,"saya sangat terbantu sekali dengan adanya aplikasi e-court saat mengajukan perkara di Pengadilan Agama Pariaman, sangat mudah dan biaya ringan.. sukses buat Pengadilan Agama Pariaman...",netral,
106,UgxdKlVTjFn9w7wuerV4AaABAg,tutorial_website,musiknya mengganggu tdk jelas apa yg dibicarakan,netral,
107,UgwmiJakSRifSBr_3Ed4AaABAg,tutorial_website,Ka ko aku upload dokumen gagal mulu padahal udah PDF dan dosc,netral,
108,UgwCO5YP02QlgBT_Ixd4AaABAg,tutorial_website,Kalau bpjs ketenagakerjaan yg ada dua kartu dan mau di non aktifkan salah satunya gimana kk.,netral,
109,Ugy_3BChnWzn-Wq3JRN4AaABAg,institusional,"Sudah rusak hukum di Indonesia, lalu bagaimana pemulihannya? sebaiknya extreme harus dilakukan korupsi di atas 10 milyar harus hukum mati",bad,
110,Ugxs3Oza7yD-uV-HvS54AaABAg,institusional,Warga dan rakyat Cirebon harus bersatu menanyakan ke MA masalah putusan yg tidak adil ini.,netral,
111,Ugzh9RqZglc_Jwmg7U94AaABAg,institusional,"AMIN2
DALAM IMAN SETIAP DOA TUHAN DENGAR DAN KABULKAN. MAHKAMAH AGUNG SUKSES DI BAWAH KEPIMPINAN YM 🙏🙏
Love MARI",good,
112,Ugxkkv-bf6DauMbbTtd4AaABAg,institusional,"Semoga Allah memberi kesehatan, umur panjang,kebahagia dunia akhirat kepada ulama kita khususnya dan kepada kita semua umumnya....Aminn yaa Allah 🤲🤲🤲",good,
113,Ugxvg-iqv41d-Ciczrp4AaABAg,institusional,"Hahahaha lucu yaaa.PSHT KETUM MAS TAUFIK NAMA ORGANISASINYA PSHT.
PEMILIKNYA PSHT.

YG 1 NYA PPSHTPM  KETUM KANG MAS MURJOKO.
PEMILIK BAGUS RIZKY..
JADI MNA YG ORGANISASI SOSIAL DAN MNA ORGANISASI PRIBADI?",good,
114,UgyAOzouqsIxHGVoAeB4AaABAg,institusional,Mangka Nye tdk sekolah tinggi jangan ngaku ngaku sekolah tinggi kesian orang yg sekolah tinggi beneran dan jangan bilang kehendak  Tuhan ko Tuhan yg di salah kan tuh kan blo on Nye kelihatan lu yg bohong bilang kehendak Tuhan,netral,
115,UgxVLE5sk196z7TWECZ4AaABAg,institusional,Semoga sukses 👍👍,good,
116,UgzO4koqLrn6IFWvH_94AaABAg,tutorial_website,Didalam perma no7 pasal 20 ayat 1 tidak ada lagi dimintakan persetujuan para pihak sehingga para pihak dipaksa semua pihak untuk bersidang secara elektronik nah sementara di sk kma no 363 kembali dimunculkan persetujuan dari para pihak jadi yang saya tanyakan adalah kapan ditawarkan kepada para pihak sebelum mediasi atau setelah mediasi karena setelah gagal mediasi langsung acara jawaban mohon penjelasan,good,
117,UgwSKfX4jEXCClJh7Ox4AaABAg,institusional,"Denda 1 milyar atau 6 bln penjara, bnyk yg mau gantikan penjara 6 bln dpt duit 1 milyar bu.",netral,
118,Ugy_WYM83Lsyqsvn3JJ4AaABAg,institusional,"Kata nya hukuman mati buat korupsi dana bansos corona, bullshit pak pak...",bad,
119,Ugzu3bNC9rKMFoTPMm54AaABAg,institusional,Pesimis hukum akan tegak kalau caranya seperti ini gila parah.,bad,
120,UgzPL7JkIH2YRzKx0Zh4AaABAg,institusional,Miskinkan koruptor,netral,
121,Ugw4c7mZwnDLZKbZLP14AaABAg,institusional,"Negara hukum ,tp hukumya tu umpul kalau Sam org atas,",netral,
122,Ugymf0ni8-HmUjrB3Bp4AaABAg,institusional,masya allah..... betapa sulit nya mencari keadilan....,netral,
123,UgwZmcrzKCOmlCZmvW14AaABAg,institusional,"Kalau terdawa terus terusan praperadilan terus kapan sidang nya ,semua sudah paham hukum dan semua orang2sudah sarjana hukum kok hukum di buat mainan,",netral,
124,UgzF4dv6ITBfPTegZFB4AaABAg,institusional,Ga tau aapa ga sadar...mau apa aja gampang..tinggal beli..lah ga mikir slama ini..dpt uang nya dr mana...koplak...,netral,
125,UgwVnNyj33tYNbkX40d4AaABAg,institusional,Gx usah di hukum aja sih pak.. Suruh bebas aja menikmati uang korupsi.. 🥴...,bad,
126,UgwyOW9tHOjeB9xBdcx4AaABAg,institusional,Pak Toni masuk ke Peradi tegak kan ke Adilan bersama Peradi ayo brjuang LG trs kawal,netral,
127,UgzAgq82pUaGz7JT8EF4AaABAg,institusional,Mantap pak gub inovasi,good,
128,UgwQRLsRXXKSJu_G4f54AaABAg,institusional,Mukamu ditaruh di mana pak tua? Memalukan,netral,
129,UgwKyULAsU7skSHMNGN4AaABAg,institusional,"Hakim yang tidak Adil pasti akan mendapatkan balasannya sesuai dengan amal dan perbuatan yang dia jalankan  ,",netral,
130,UgzoGGmeYoodqxhAtBx4AaABAg,institusional,Parah parah,bad,
131,UgwocRxp7Px4Nd7rW-94AaABAg,tutorial_website,Bang kalau ga ada pilihan di web sipp nya pengajuan data bsu itu kenapa yaa,netral,
132,Ugy9ouxek9DBYOtGr0R4AaABAg,institusional,"Ya ALLAH,Org 2 susah banyak  kurang makan,,😭😭😭,Org nyimpan emas sampai 51 KL grm",netral,
133,UgxP6uI8rlsm9__2rmx4AaABAg,institusional,Kok mendadak lemah lembut...mana teriak2 dan gebrak2 meja spt orang gila,netral,
134,Ugwv0dSkdtSz3SzazeB4AaABAg,institusional,"Pak saya menang dipengadilan negri tapi kalah di PT.TUN saya pemegang sertifikat tanah, dan yg menggugat saya surat desa berbeda wilayah dan  sudah 29 tahun dia Bru datang menggugat...",netral,
135,Ugz-ROm_avIP_fwsmhx4AaABAg,institusional,"NGAK .  PAK ITU YG TERBAIK BAGI ( M A )
buat contoh generadi penerus janji  pintar bersilat lidah yg tak bettulang.
biar pecah diperut asal jangan  mulut nanti.
karna itulah kebijakan org pintar. mantap pak.",good,
136,Ugwgq9tFmJ4PtQu5WH54AaABAg,institusional,Dr. Roger keren Pak Hakim. 😄🙏👍🇮🇩,good,
137,Ugx5djhQY9CxyEbdQJd4AaABAg,institusional,HUKUM MATI SEMUA HAKIM YG TERLIBAT TERIMA UANG SUAP KORUPTOR,bad,
138,UgweuCHXF_Ypxj8yVO54AaABAg,institusional,Pengin ngerti hukum. Supaya kebal,netral,
139,UgwFKWLmgfOYTq0Oxad4AaABAg,institusional,"masalahnya ga ada sinkron bpjs sama pemerintah rs klinik disecara serentak di selurih indo,trus banyak yg sakit baru bayar bpjsnya,gimana ga defisit😥 padahal bpjs bagus banget loh👍coba contoh taiwan atau canada untuk hal itu",good,
140,UgxrJotmgxsu38kJ8C14AaABAg,institusional,Dari Awal juga liat hasil sidang udah kebaca sih. Hanya lambat aja di sidik. Jd intinya gmn? Tahan Lagi tambah pasal lagi Si RT,netral,
141,Ugyvpv2Z9x9cxlHhkkF4AaABAg,institusional,Wihh keren koruptor di diskon ..,good,
142,Ugy1VKUAY2maGaspkh54AaABAg,institusional,Mantap..Indonesia ku semua kedepannya bisa lebih baik.,good,
143,Ugz86LLb5DCJN65rHc94AaABAg,tutorial_website,tutorial cabut SIP lewat jakevo kak,netral,
144,Ugz6ZVl7-4d07Sl85c54AaABAg,institusional,"Astaga naga,,,,, ternyata benar yg di katakan Muhammad kace 🤔🤔🤔 BERTOBATLAH 😭😭😭 MARI belajar BER KEADILAN dan BERADAB 👍👍👍",netral,
145,UgynyE9PIGQuE0JRxFZ4AaABAg,institusional,"tajam kebawah tumpul keatas..
makin banyak aja yg korupsi..
hukum negri dongeng",bad,
146,Ugw_z6fHKREwUu0WuC54AaABAg,institusional,"Mana letak keadilan di negeri ini, nyawa Harus  dibayar nyawa dong supaya jelas keadilan , janganlah tebang pilih kayak itu.",netral,
147,UgwZaf4eI_Xhz1HVRjd4AaABAg,institusional,Terima kasih Prof.,good,
148,Ugz7miduKV6oiv9NDV94AaABAg,institusional,Waktu jabat tahu kok diam,netral,
149,UgzjmVx5Cu2ZljRiL4l4AaABAg,institusional,"Lihat Habaib baalawi ,sama dg saudara kita warga papua dan yg dimanapun.",netral,
150,UgyvV5RinZVxHsEhi6t4AaABAg,institusional,Mahkamah Mafia,netral,
151,Ugw96dBpz2LQYuAbdjh4AaABAg,institusional,Berita yg sangat bagus.. nikmat yg sangat luar biasa Rasman masuk BUI.. Alhamdulillah,good,
152,UgxMj-kDIRTRijZcWr14AaABAg,tutorial_website,"padahal mudah banget ya tutorialnya, tapi aku udah 2 bulan resign dari tempat kerja belum juga nonaktif",netral,
153,UgwuKFiAx9FOY4gP9d94AaABAg,tutorial_website,"Dengan adanya e court ini menjadikan layanan pada pengadilan menjadi efektif dan efesien, mudah dan transparan administrasi persidangan cepat, biaya perkara lebih murah, e court sangat membantu pelayanan persidangan lebih baik..
Dwi wulan mukaromah (210217043)",good,
154,UgygvTc2Yu1FeHLny494AaABAg,institusional,"Dulu sering mempenjarakan orang,kini rasakan makan itu suap",bad,
155,Ugx5VgvRtxvL5UwQmHF4AaABAg,institusional,"fasilitas baru setelah renovasi:
1. 8 kamar tidur + kamar mandi dalam full ac full furniture 
2. dapur bersih dapur kotor kamar asisten full ac full furniture 
3. entertainment room (karaoke, billiard, mini theater)
4. rooftop + helipad (biar gampang kabur)",netral,
156,UgyLBmwyd9a1WwE04n14AaABAg,tutorial_website,bang saya mau transfer ke va untuk pembayaran pnbp tp gagal terus..,netral,
157,UgxkQzueBCdP6sA77gF4AaABAg,institusional,Nm nm mereka ada di bank cek cek ada pula di namakan istrinya dan juga keluarganya yg dinmakan di bank itu uang suap aset aset mereka sagat byak ad rumah tanah dan mobil yg sagat byak,bad,
158,UgyxBHoqxJSvsx76gr94AaABAg,institusional,Paraahh,netral,
159,UgyTO4BgdlahaMEHzN54AaABAg,tutorial_website,"Setelah terima email, pas mau login gagal. keterangan user anda sudah tidak aktif. Mohon pencerahannya min.",netral,
160,UgzWqDLEZ3KnS18Ytq54AaABAg,institusional,"Tinggal masuk aza , koq susah amat zich",netral,
161,UgxbviKZ8iB5x07mw914AaABAg,institusional,Hukum mati saja para korupsi  yng ada di negara ini,bad,
162,UgxS5slLBCukeX_YG8B4AaABAg,institusional,"teryata tidak serumit yang dibayangkan,,, 😁terimaksih tutorialnya kak, ini mudah dipahami",netral,
163,UgwxJz_29iP3tYwmubR4AaABAg,institusional,"Pak Dwi Belanja Keperluan Berbuka
Beli Ketupat Dimakan Bersama
Demikian Tema Kebijakan MA tentang Narkotika
Semoga bermanfaat untuk kita semua...
Terima kasih Podium utk tema kali ini yg bs dijadikan pedoman bagi stake holder terkait terutama Pengadilan (Hakim) dlm memutus perkara TP Narkotika... 👍🙏",good,
164,UgyKd_mxNvCnec1z7mB4AaABAg,institusional,Keren speech nya RG,good,
165,UgyNakx1K4e8JwWENK14AaABAg,institusional,"Katanya petarung...
Masa kayak ayam sayur ngadepin penjara...

Terima dong keputusan hakim jika sudah di vonis...

Payah lo bro....",netral,
166,UgzbXilJxxC2HiKZcWR4AaABAg,institusional,Bukan pelanggaran etik lagi tapi pelanggaran hukum.  Mrk harus di pecat dan di hukum berat.,netral,
