no,comment_id,category,text,rater2_label,catatan
33,UgzhZtb6A9Ub7huCqUx4AaABAg,institusional,"Bagikan itu semua uang kepada orang 2 yang tidak mendapatkan keadilan, orang2 yang menjadi korban dari mafia hukum",,
34,UgwSwDFiQgzKPHy7skB4AaABAg,institusional,Karena punya Niat Nyolong makanya pura2 Baik.,,
35,Ugyk8A3AItuFQYPvmdR4AaABAg,institusional,"Sangat sakit hati ag. Mendengar. .ini.   tidak tahan.  Menahn .air mata .ya allah ag mohon kepada mu.  Berilah ke ajaiban. 7 terpidana. Tidak bersalh.  Semogga ada jaln keluarnya.  Bisa bebas.amiin yarob 3x. 
Saudia arabia hadir. 

Mudah'an. Pra hakim.yg memonis. terpidana.  Dapt ajab. Pling pedih. 7 turun. Dunia ahirat.",,
36,UgxSoJyv_Ata-DE7EHd4AaABAg,institusional,Bagus dah di kandangin biar agak adem ni negara,,
37,UgwVWLcJwvF3dn6sY1l4AaABAg,tutorial_website,Bang ....apa GK bisa langsung ambil ke pengadilan saja ...kynya kok ribet,,
38,Ugzxz0F1Xax3-x_cNzl4AaABAg,institusional,Nga disudahon be klip naii.. Marjillam ma,,
39,Ugy7xs4AAUmQoU_cQIZ4AaABAg,institusional,WAJIB DI USUT 👍👍👍 DI JAMIN MENERIMA SUAP 👍🇮🇩👍🤣😁😁,,
40,UgxW1x76BR43__YbFSZ4AaABAg,institusional,Jgn terlena dgn berita yg seakan akan presiden akan jatuh...itu produk pdip..agar gelombang penolakan ruu hip... hilang dari berita.. ayo jgn lengah kawal penolakan ruu hip.,,
41,Ugwn4tPZ51boHsDm0-R4AaABAg,tutorial_website,Mantap👍👍,,
42,UgyslrAslGWfuLhaAOx4AaABAg,tutorial_website,Iya kenapa gagal terus upload SK aja g bisa...,,
43,UgyEgcBb75-KXESJoUt4AaABAg,institusional,Terus bongkarkan bang resmon mantap,,
44,Ugwo4dtbGWyKcrZ1KE94AaABAg,institusional,Suap bagi pengadil sulit untuk dimusnahkan terutama jika tersangkanya orang orang kaya atau orang yang punya jabatan tinggi,,
45,Ugw44J1PZ8Vhz4LJbKF4AaABAg,institusional,"Mantap pak.
Mejuah2 salam dari medan Fakultas Hukum USU",,
46,UgxurY9P_27_zseGK7Z4AaABAg,institusional,katax mrmberantas korupsi bgm bisa diberantas orang yg sangat dipercaya memberi teladan malah melanggar larangan itu sendiri.bra vo p.Rudi teruskan kritikanx mudahan bermanfaat.,,
47,Ugzka0xUlTfrb7ECbIN4AaABAg,institusional,"Modus pmbnuhn sadis, kejam dan keji, abk sendri skenerio pemerkosaan, hrs nya MA apresiasi putusab PN dan PT",,
48,Ugz8_ZAiH3lHAoR_r8B4AaABAg,institusional,"Ma parah banget ini,astagfirullah padahal saksi² sudah jelas bahwa ini kecelakaan",,
49,UgyIs7YuT2ntXReExF94AaABAg,institusional,"Itu zoom nya di mute saja kalau RS ga diminta omong. Menggangu, mendengar gonggongan-nya. Kayak hewan liar ga tahu tata kromo.",,
50,UgwPg-whVIIPIWq7J8x4AaABAg,institusional,"Para koruptor semakin meraja Lela di negri ini
Ada apa??...
Kpk berhasil mengungkap..semoga setelah dipenjara tdk mendapat potongan masa tahanan...
Alias keluar sebelum saatnya",,
51,UgyWWMK7TwanBEL0cmF4AaABAg,institusional,"Wakil Tuhan korupsi semua karena ""heaven is Offline""😂😂😂😂😂😂😂",,
52,Ugx0KXvTLQ6Nu3D94oV4AaABAg,institusional,biar  allah akan memberi  hukuman kepada yg curang dan zalim,,
53,UgxG5JogmmCIlhcYrp94AaABAg,institusional,Suaranya ko gk bentak bentak lg?,,
54,UgwqzfZIV0Ainc6YDad4AaABAg,institusional,Kenapa ngak minta pembayaran secara ansuran.. tetapi harus bersetuju dgn syarat dlm surat perjanjian...,,
55,UgyXDtH3aQ8IYqawU4t4AaABAg,institusional,Ini yang buat rakyat merasa kecewa dengan Hukum dinegeri ini koruptor yang sudah menghianati bangsa tapi dihukum ringan ckckckck🤭,,
56,UgwJbIgr9MGTbTAUsiB4AaABAg,institusional,"Ya Allah smoga yg curang akan tumbang, kebenaran akan terbuka dn di menangkan Allah,,",,
57,Ugz8Z1hxO3bsMyVcLql4AaABAg,institusional,Bagus penjelasannya pak teguh menambah wawasan advokat. & masyarakat pada umumnya.Tks.,,
58,UgxgagywgR0_NLBEzV14AaABAg,institusional,"Semua rakyat juga kecewa..hukum kok cuman tajam ke rakyat.anggota ma harus di periksa kira"" menerima sogokan berapa",,
59,Ugz44dXhW5jYZv1_VBZ4AaABAg,tutorial_website,"Alhamdulillah, sangat informatif semoga dapat membantu para pengguna pencari keadilan di PA Bandung",,
60,Ugzkhvg2rT4bkErIDV14AaABAg,tutorial_website,"sy udh download tpi gagal ga msuk pdf,tpi di akun ecourtnya udh ilang bang,trus gimna sy cari salinan itu lg biar ba sy download lg",,
61,Ugzd02l_Oft5zoMq-AV4AaABAg,tutorial_website,Sangat memudahkan pencari keadilan dan para advocat untuk mendaftarkan perkata di Pengadilan Agama,,
62,UgzALJfFAxQ9N9M1pyN4AaABAg,tutorial_website,Ketika saya masukan npp dan divisi tulisanya gagal.. alasanya npp sudah menggunakan sipp.. itu gmana bos,,
63,UgyPfq3BVaRMib660KF4AaABAg,institusional,KPK tolong pantau juga Kab. Kep. Aru di Maluku pak...,,
64,Ugyv1fVPWWNvilcxVud4AaABAg,institusional,Gofur gila,,
65,UgzrYLi_J_FA87USSm94AaABAg,institusional,"Komar orang baik tapi tidak jujur, banyak yg model gitu di Indonesia.
Jadi baik mudah jadi jujur itu pilihan.",,
66,UgzG3HOUa_RGgq4MaPN4AaABAg,institusional,"Mantap...Tumabo Dongan TRIO on mangendehon,,,Sukses #DONGANTRIO",,
67,UgyqhcXSHj0iGMBT8zx4AaABAg,institusional,Mantap PT Riau maju terus ...,,
68,UgxZkZjTuT24QWfuB-14AaABAg,institusional,Jika reformasi menjadikan semakin banyak korupsi. Apakah perlu revolusi ??,,
69,UgyaD4GKKj61Ms4njr54AaABAg,institusional,Benar benar memalukan...pengadilan paling tinggipun tersandung korupsi..,,
70,UgztQpgokqp5XyMIcRZ4AaABAg,tutorial_website,"Sangat membantu, penjelasannya gampang dipahami, terimakasih",,
71,UgwNstLnLI4ZjBuXLtt4AaABAg,institusional,Cengangas cengenges lu ah...,,
72,Ugx46bruYDxhVoztjvF4AaABAg,institusional,Viralkan,,
73,UgzBbf0cuKz_MLuBevl4AaABAg,institusional,"Saya heran pejabat negara kita di biarkan korupsi meraja lela, tapi utang bapak Yusuf Hamka tidak di bayar ❤🙏",,
74,Ugws2tFJCs8gKBpVx214AaABAg,institusional,Alhamdulillah termul makin terpojok,,
75,Ugy26JhOZmOS6XKsZbh4AaABAg,institusional,Mudah mudahan hakim MA cepet struk,,
76,UgxbBkRuO41zDzAEszp4AaABAg,institusional,Dulu sama2 mau..kok sekarang rame2..hanya karena uang..gk pedulikan hati sang anak..,,
77,UgwVxyIBWnP1z_lPcUN4AaABAg,institusional,"Buktikan KLO Anda Taat Hukum.
Jgn bawa bawa Nama Presiden.",,
78,Ugxs4bX95BC-vNIGegJ4AaABAg,tutorial_website,PA Tual Betapung Temang...Sukses Selalu..,,
79,UgzOD1i-RDWJM7yQMLx4AaABAg,institusional,Hak sya di zalimi saya kalah di kasasi ..karna bukti yg akurat skalipun kalah dgan uwang ...itu yg saya alami ..pdahalah setepikat atasnama orng tuwa sya & surat hibahya ..😭,,
80,UgxHlsACGwTelOhWCvF4AaABAg,institusional,Gagal banding ya gitu,,
81,UgxhquMXecwk8asmMBJ4AaABAg,institusional,mantap...,,
82,UgyTFvPMCpYsMJbnuih4AaABAg,institusional,Hukum allah lebig adil dr pd hukum manusia g adil.. Skrg g ada duit di tindas.. Ada duit di anggung2in. Mafia di lindingi. Maling sendal jepit di pidana,,
83,Ugx0ID-wdsUNd_9wD2N4AaABAg,institusional,Pak ada nomer wa atau instagram ga saya ada keperluan,,
84,UgzpeosUbHxmElah3zN4AaABAg,institusional,BPJS malah naik LG payah bang,,
85,UgzWAgXg9U0swTPdBZd4AaABAg,institusional,Sangat gampang sekali bagi mereka.kita rakyat berjibaku hanya untuk makan dan kebutuhan lainya.,,
86,UgwtxIsDuNthtEstCYJ4AaABAg,institusional,"Gak apa saling berantam,kelompok pencuri uang rakyat hidup pun gak ada guna..kasih mati sekalian lagi bagus.",,
87,UgyPnxuQ4ME20VVO1El4AaABAg,institusional,Terimakasih atas penjelasan yg luar biasa sehingga sangat bermanfaat bagi masyarakat para pencari keadilan 🙏,,
88,Ugw-WhJVzksRNxaFeUF4AaABAg,institusional,"Kurung aja si rasman ituh, bikin keruh dunia aja tuh orng...!",,
89,UgyfjKyexjfjQndiiw14AaABAg,institusional,Mafia nya kan di lingkaran kekuasaan itu yg harus diberantas,,
90,UgwfRLoPqROAX976vrR4AaABAg,institusional,"Duuuh gampang banget orang gede cari uang,,,aku buat bayar kontrakan aja mati"" cari gak dapet""",,
91,UgzpFehqELs8m1NR58V4AaABAg,institusional,hakim yang ngebaskan tangkap juga,,
92,UgzrUIzr7QbovLMnD5B4AaABAg,institusional,"Udah bagus lagunya dinyanyikan sama Agnes ,kalo ngga pasti ilang itu lagu",,
93,Ugxk4J31UDfP2EeE2ZB4AaABAg,institusional,Rusak rusak negeri ini . Gelap gelap hukum di negeri konoha.,,
94,UgxTwsHoxlNi61AkrdB4AaABAg,institusional,Pejabat ind banyak yg g mengemban jabatan adalah amanah orang jujur jarang  orang panyak buat minteri,,
95,UgyeDdTm01Hy_9-sTaN4AaABAg,institusional,I like lah,,
96,UgxKwKq7w-JZzefR5nx4AaABAg,institusional,"100 m, brt korupsi kcil2 sj dnt.",,
97,UgyKRXsYxWjQtIi-cMR4AaABAg,institusional,"SUSAH KEADILAN KITA DAPAT DI INDONESIA INI, KETIKA KITA MASYARAKAT KECIL.",,
98,Ugw8Ki51WkbYJ2npxOZ4AaABAg,institusional,Saya setuju bagi koruptor hukuman maksimal mati atau seumur hidup . Kalaupun ada  grasi harus ada  maxnya. Pastinya korupsi ada habis,,
99,Ugyja-aGBO8US4_KHDh4AaABAg,institusional,"Dada JJ, Pngen mampir ning padepokan mb kapan sagete mba :'( PSHT JAYA",,
100,UgzbTujKEHGIuY5kOYJ4AaABAg,tutorial_website,Keren,,
101,Ugw6eFLej73jUDaVhM54AaABAg,institusional,Horas  bongkar semua kasus yg di tutupi  supaya rakyat  tahu .presiden prabowo  tangkap jaksa ma koruptor  parah ini indonesia di bodohi para rekayasa kasus,,
102,Ugygj11mwtS25bmnIF54AaABAg,institusional,"Siapa yg menyiram bensin selama berkuasa , tinggal ada waktu hangus musnah 😂",,
103,UgwXyy7lPYzKF3rxAqh4AaABAg,institusional,Tetap saja tidak adil,,
104,UgyO4zIQ6Jg6-k69FuN4AaABAg,institusional,Ancur klo ma g di berentikan,,
105,Ugy8u7imSwRW_z1xrIR4AaABAg,tutorial_website,"saya sangat terbantu sekali dengan adanya aplikasi e-court saat mengajukan perkara di Pengadilan Agama Pariaman, sangat mudah dan biaya ringan.. sukses buat Pengadilan Agama Pariaman...",,
106,UgxdKlVTjFn9w7wuerV4AaABAg,tutorial_website,musiknya mengganggu tdk jelas apa yg dibicarakan,,
107,UgwmiJakSRifSBr_3Ed4AaABAg,tutorial_website,Ka ko aku upload dokumen gagal mulu padahal udah PDF dan dosc,,
108,UgwCO5YP02QlgBT_Ixd4AaABAg,tutorial_website,Kalau bpjs ketenagakerjaan yg ada dua kartu dan mau di non aktifkan salah satunya gimana kk.,,
109,Ugy_3BChnWzn-Wq3JRN4AaABAg,institusional,"Sudah rusak hukum di Indonesia, lalu bagaimana pemulihannya? sebaiknya extreme harus dilakukan korupsi di atas 10 milyar harus hukum mati",,
110,Ugxs3Oza7yD-uV-HvS54AaABAg,institusional,Warga dan rakyat Cirebon harus bersatu menanyakan ke MA masalah putusan yg tidak adil ini.,,
111,Ugzh9RqZglc_Jwmg7U94AaABAg,institusional,"AMIN2
DALAM IMAN SETIAP DOA TUHAN DENGAR DAN KABULKAN. MAHKAMAH AGUNG SUKSES DI BAWAH KEPIMPINAN YM 🙏🙏
Love MARI",,
112,Ugxkkv-bf6DauMbbTtd4AaABAg,institusional,"Semoga Allah memberi kesehatan, umur panjang,kebahagia dunia akhirat kepada ulama kita khususnya dan kepada kita semua umumnya....Aminn yaa Allah 🤲🤲🤲",,
113,Ugxvg-iqv41d-Ciczrp4AaABAg,institusional,"Hahahaha lucu yaaa.PSHT KETUM MAS TAUFIK NAMA ORGANISASINYA PSHT.
PEMILIKNYA PSHT.

YG 1 NYA PPSHTPM  KETUM KANG MAS MURJOKO.
PEMILIK BAGUS RIZKY..
JADI MNA YG ORGANISASI SOSIAL DAN MNA ORGANISASI PRIBADI?",,
114,UgyAOzouqsIxHGVoAeB4AaABAg,institusional,Mangka Nye tdk sekolah tinggi jangan ngaku ngaku sekolah tinggi kesian orang yg sekolah tinggi beneran dan jangan bilang kehendak  Tuhan ko Tuhan yg di salah kan tuh kan blo on Nye kelihatan lu yg bohong bilang kehendak Tuhan,,
115,UgxVLE5sk196z7TWECZ4AaABAg,institusional,Semoga sukses 👍👍,,
116,UgzO4koqLrn6IFWvH_94AaABAg,tutorial_website,Didalam perma no7 pasal 20 ayat 1 tidak ada lagi dimintakan persetujuan para pihak sehingga para pihak dipaksa semua pihak untuk bersidang secara elektronik nah sementara di sk kma no 363 kembali dimunculkan persetujuan dari para pihak jadi yang saya tanyakan adalah kapan ditawarkan kepada para pihak sebelum mediasi atau setelah mediasi karena setelah gagal mediasi langsung acara jawaban mohon penjelasan,,
117,UgwSKfX4jEXCClJh7Ox4AaABAg,institusional,"Denda 1 milyar atau 6 bln penjara, bnyk yg mau gantikan penjara 6 bln dpt duit 1 milyar bu.",,
118,Ugy_WYM83Lsyqsvn3JJ4AaABAg,institusional,"Kata nya hukuman mati buat korupsi dana bansos corona, bullshit pak pak...",,
119,Ugzu3bNC9rKMFoTPMm54AaABAg,institusional,Pesimis hukum akan tegak kalau caranya seperti ini gila parah.,,
120,UgzPL7JkIH2YRzKx0Zh4AaABAg,institusional,Miskinkan koruptor,,
121,Ugw4c7mZwnDLZKbZLP14AaABAg,institusional,"Negara hukum ,tp hukumya tu umpul kalau Sam org atas,",,
122,Ugymf0ni8-HmUjrB3Bp4AaABAg,institusional,masya allah..... betapa sulit nya mencari keadilan....,,
123,UgwZmcrzKCOmlCZmvW14AaABAg,institusional,"Kalau terdawa terus terusan praperadilan terus kapan sidang nya ,semua sudah paham hukum dan semua orang2sudah sarjana hukum kok hukum di buat mainan,",,
124,UgzF4dv6ITBfPTegZFB4AaABAg,institusional,Ga tau aapa ga sadar...mau apa aja gampang..tinggal beli..lah ga mikir slama ini..dpt uang nya dr mana...koplak...,,
125,UgwVnNyj33tYNbkX40d4AaABAg,institusional,Gx usah di hukum aja sih pak.. Suruh bebas aja menikmati uang korupsi.. 🥴...,,
126,UgwyOW9tHOjeB9xBdcx4AaABAg,institusional,Pak Toni masuk ke Peradi tegak kan ke Adilan bersama Peradi ayo brjuang LG trs kawal,,
127,UgzAgq82pUaGz7JT8EF4AaABAg,institusional,Mantap pak gub inovasi,,
128,UgwQRLsRXXKSJu_G4f54AaABAg,institusional,Mukamu ditaruh di mana pak tua? Memalukan,,
129,UgwKyULAsU7skSHMNGN4AaABAg,institusional,"Hakim yang tidak Adil pasti akan mendapatkan balasannya sesuai dengan amal dan perbuatan yang dia jalankan  ,",,
130,UgzoGGmeYoodqxhAtBx4AaABAg,institusional,Parah parah,,
131,UgwocRxp7Px4Nd7rW-94AaABAg,tutorial_website,Bang kalau ga ada pilihan di web sipp nya pengajuan data bsu itu kenapa yaa,,
132,Ugy9ouxek9DBYOtGr0R4AaABAg,institusional,"Ya ALLAH,Org 2 susah banyak  kurang makan,,😭😭😭,Org nyimpan emas sampai 51 KL grm",,
133,UgxP6uI8rlsm9__2rmx4AaABAg,institusional,Kok mendadak lemah lembut...mana teriak2 dan gebrak2 meja spt orang gila,,
134,Ugwv0dSkdtSz3SzazeB4AaABAg,institusional,"Pak saya menang dipengadilan negri tapi kalah di PT.TUN saya pemegang sertifikat tanah, dan yg menggugat saya surat desa berbeda wilayah dan  sudah 29 tahun dia Bru datang menggugat...",,
135,Ugz-ROm_avIP_fwsmhx4AaABAg,institusional,"NGAK .  PAK ITU YG TERBAIK BAGI ( M A )
buat contoh generadi penerus janji  pintar bersilat lidah yg tak bettulang.
biar pecah diperut asal jangan  mulut nanti.
karna itulah kebijakan org pintar. mantap pak.",,
136,Ugwgq9tFmJ4PtQu5WH54AaABAg,institusional,Dr. Roger keren Pak Hakim. 😄🙏👍🇮🇩,,
137,Ugx5djhQY9CxyEbdQJd4AaABAg,institusional,HUKUM MATI SEMUA HAKIM YG TERLIBAT TERIMA UANG SUAP KORUPTOR,,
138,UgweuCHXF_Ypxj8yVO54AaABAg,institusional,Pengin ngerti hukum. Supaya kebal,,
139,UgwFKWLmgfOYTq0Oxad4AaABAg,institusional,"masalahnya ga ada sinkron bpjs sama pemerintah rs klinik disecara serentak di selurih indo,trus banyak yg sakit baru bayar bpjsnya,gimana ga defisit😥 padahal bpjs bagus banget loh👍coba contoh taiwan atau canada untuk hal itu",,
140,UgxrJotmgxsu38kJ8C14AaABAg,institusional,Dari Awal juga liat hasil sidang udah kebaca sih. Hanya lambat aja di sidik. Jd intinya gmn? Tahan Lagi tambah pasal lagi Si RT,,
141,Ugyvpv2Z9x9cxlHhkkF4AaABAg,institusional,Wihh keren koruptor di diskon ..,,
142,Ugy1VKUAY2maGaspkh54AaABAg,institusional,Mantap..Indonesia ku semua kedepannya bisa lebih baik.,,
143,Ugz86LLb5DCJN65rHc94AaABAg,tutorial_website,tutorial cabut SIP lewat jakevo kak,,
144,Ugz6ZVl7-4d07Sl85c54AaABAg,institusional,"Astaga naga,,,,, ternyata benar yg di katakan Muhammad kace 🤔🤔🤔 BERTOBATLAH 😭😭😭 MARI belajar BER KEADILAN dan BERADAB 👍👍👍",,
145,UgynyE9PIGQuE0JRxFZ4AaABAg,institusional,"tajam kebawah tumpul keatas..
makin banyak aja yg korupsi..
hukum negri dongeng",,
146,Ugw_z6fHKREwUu0WuC54AaABAg,institusional,"Mana letak keadilan di negeri ini, nyawa Harus  dibayar nyawa dong supaya jelas keadilan , janganlah tebang pilih kayak itu.",,
147,UgwZaf4eI_Xhz1HVRjd4AaABAg,institusional,Terima kasih Prof.,,
148,Ugz7miduKV6oiv9NDV94AaABAg,institusional,Waktu jabat tahu kok diam,,
149,UgzjmVx5Cu2ZljRiL4l4AaABAg,institusional,"Lihat Habaib baalawi ,sama dg saudara kita warga papua dan yg dimanapun.",,
150,UgyvV5RinZVxHsEhi6t4AaABAg,institusional,Mahkamah Mafia,,
151,Ugw96dBpz2LQYuAbdjh4AaABAg,institusional,Berita yg sangat bagus.. nikmat yg sangat luar biasa Rasman masuk BUI.. Alhamdulillah,,
152,UgxMj-kDIRTRijZcWr14AaABAg,tutorial_website,"padahal mudah banget ya tutorialnya, tapi aku udah 2 bulan resign dari tempat kerja belum juga nonaktif",,
153,UgwuKFiAx9FOY4gP9d94AaABAg,tutorial_website,"Dengan adanya e court ini menjadikan layanan pada pengadilan menjadi efektif dan efesien, mudah dan transparan administrasi persidangan cepat, biaya perkara lebih murah, e court sangat membantu pelayanan persidangan lebih baik..
Dwi wulan mukaromah (210217043)",,
154,UgygvTc2Yu1FeHLny494AaABAg,institusional,"Dulu sering mempenjarakan orang,kini rasakan makan itu suap",,
155,Ugx5VgvRtxvL5UwQmHF4AaABAg,institusional,"fasilitas baru setelah renovasi:
1. 8 kamar tidur + kamar mandi dalam full ac full furniture 
2. dapur bersih dapur kotor kamar asisten full ac full furniture 
3. entertainment room (karaoke, billiard, mini theater)
4. rooftop + helipad (biar gampang kabur)",,
156,UgyLBmwyd9a1WwE04n14AaABAg,tutorial_website,bang saya mau transfer ke va untuk pembayaran pnbp tp gagal terus..,,
157,UgxkQzueBCdP6sA77gF4AaABAg,institusional,Nm nm mereka ada di bank cek cek ada pula di namakan istrinya dan juga keluarganya yg dinmakan di bank itu uang suap aset aset mereka sagat byak ad rumah tanah dan mobil yg sagat byak,,
158,UgyxBHoqxJSvsx76gr94AaABAg,institusional,Paraahh,,
159,UgyTO4BgdlahaMEHzN54AaABAg,tutorial_website,"Setelah terima email, pas mau login gagal. keterangan user anda sudah tidak aktif. Mohon pencerahannya min.",,
160,UgzWqDLEZ3KnS18Ytq54AaABAg,institusional,"Tinggal masuk aza , koq susah amat zich",,
161,UgxbviKZ8iB5x07mw914AaABAg,institusional,Hukum mati saja para korupsi  yng ada di negara ini,,
162,UgxS5slLBCukeX_YG8B4AaABAg,institusional,"teryata tidak serumit yang dibayangkan,,, 😁terimaksih tutorialnya kak, ini mudah dipahami",,
163,UgwxJz_29iP3tYwmubR4AaABAg,institusional,"Pak Dwi Belanja Keperluan Berbuka
Beli Ketupat Dimakan Bersama
Demikian Tema Kebijakan MA tentang Narkotika
Semoga bermanfaat untuk kita semua...
Terima kasih Podium utk tema kali ini yg bs dijadikan pedoman bagi stake holder terkait terutama Pengadilan (Hakim) dlm memutus perkara TP Narkotika... 👍🙏",,
164,UgyKd_mxNvCnec1z7mB4AaABAg,institusional,Keren speech nya RG,,
165,UgyNakx1K4e8JwWENK14AaABAg,institusional,"Katanya petarung...
Masa kayak ayam sayur ngadepin penjara...

Terima dong keputusan hakim jika sudah di vonis...

Payah lo bro....",,
166,UgzbXilJxxC2HiKZcWR4AaABAg,institusional,Bukan pelanggaran etik lagi tapi pelanggaran hukum.  Mrk harus di pecat dan di hukum berat.,,
167,UgzkihiE9r7lYC2tUxd4AaABAg,institusional,"Dimna la cara menilainy kerjany baik ,,,sementara dia ud korupsi ,,memang ngaco",,
168,UgzhBCbzCc85Yit5DSV4AaABAg,institusional,"Bang,,kasih contonya dong,,,tks",,
169,UgxYIJKXqyjLvnkJO_l4AaABAg,institusional,INI SAYA SANGAT  SUKA DENGAN HAKIM KETUA YG PIMPIN SIDANG  LUAR BIASA PIMPIN SIDANG MANTAP 👍👍👍👍♥️♥️♥️🙏🙏 MANTAP YANG MULYA BAPAK HAKIM******,,
